order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-00001,2022-08-17,2022,Q3,8,August,North America,Mexico,Office Supplies,Pens,Corporate,5,23.41,117.05,76.43,40.62,34.7
ORD-00002,2022-06-28,2022,Q2,6,June,Latin America,Brazil,Electronics,Laptops,Corporate,8,1659.1,13272.8,6078.42,7194.38,54.2
ORD-00003,2023-02-12,2023,Q1,2,February,Latin America,Argentina,Clothing,Accessories,Home Office,1,63.12,63.12,31.43,31.69,50.21
ORD-00004,2024-05-15,2024,Q2,5,May,Asia Pacific,China,Furniture,Desks,Home Office,4,247.38,989.52,473.99,515.53,52.1
ORD-00005,2023-12-06,2023,Q4,12,December,Asia Pacific,Japan,Clothing,Accessories,Consumer,13,15.52,201.76,108.54,93.22,46.2
ORD-00006,2024-01-11,2024,Q1,1,January,Europe,Germany,Electronics,Smartphones,Home Office,3,1084.25,3252.75,2309.27,943.48,29.01
ORD-00007,2024-02-18,2024,Q1,2,February,Asia Pacific,India,Office Supplies,Pens,Home Office,12,10.24,122.88,65.14,57.74,46.99
ORD-00008,2022-05-27,2022,Q2,5,May,Europe,Italy,Furniture,Desks,Small Business,13,433.45,5634.85,4100.01,1534.84,27.24
ORD-00009,2023-03-26,2023,Q1,3,March,Asia Pacific,Japan,Furniture,Chairs,Home Office,13,287.42,3736.46,1917.91,1818.55,48.67
ORD-00010,2023-10-07,2023,Q4,10,October,Europe,Spain,Clothing,Jackets,Corporate,9,107.47,967.23,651.43,315.8,32.65
ORD-00011,2023-06-23,2023,Q2,6,June,Latin America,Chile,Office Supplies,Pens,Corporate,17,17.34,294.78,199.49,95.29,32.33
ORD-00012,2022-08-13,2022,Q3,8,August,Europe,France,Clothing,Accessories,Consumer,13,36.71,477.23,357.37,119.86,25.12
ORD-00013,2024-12-19,2024,Q4,12,December,Asia Pacific,South Korea,Electronics,Laptops,Home Office,11,989.64,10886.04,6318.58,4567.46,41.96
ORD-00014,2024-07-18,2024,Q3,7,July,North America,Mexico,Office Supplies,Organizers,Corporate,17,55.63,945.71,672.55,273.16,28.88
ORD-00015,2023-09-04,2023,Q3,9,September,Europe,France,Office Supplies,Pens,Consumer,20,13.1,262.0,119.43,142.57,54.42
ORD-00016,2024-01-14,2024,Q1,1,January,Asia Pacific,Australia,Electronics,Smartphones,Consumer,3,985.53,2956.59,2054.26,902.33,30.52
ORD-00017,2024-12-26,2024,Q4,12,December,Europe,France,Clothing,Accessories,Corporate,9,46.94,422.46,266.99,155.47,36.8
ORD-00018,2023-03-10,2023,Q1,3,March,Europe,United Kingdom,Clothing,Shoes,Small Business,17,162.87,2768.79,1451.88,1316.91,47.56
ORD-00019,2022-05-12,2022,Q2,5,May,Asia Pacific,Japan,Furniture,Lighting,Corporate,1,49.17,49.17,31.44,17.73,36.06
ORD-00020,2023-04-14,2023,Q2,4,April,North America,United States,Office Supplies,Paper,Corporate,9,35.1,315.9,162.46,153.44,48.57
ORD-00021,2022-09-28,2022,Q3,9,September,Latin America,Argentina,Clothing,Jackets,Corporate,4,92.96,371.84,215.41,156.43,42.07
ORD-00022,2024-05-17,2024,Q2,5,May,Latin America,Chile,Electronics,Laptops,Consumer,13,2037.96,26493.48,18285.21,8208.27,30.98
ORD-00023,2022-08-12,2022,Q3,8,August,Europe,France,Furniture,Lighting,Small Business,5,143.91,719.55,383.93,335.62,46.64
ORD-00024,2023-05-27,2023,Q2,5,May,North America,Canada,Electronics,Laptops,Consumer,3,2374.82,7124.46,5019.96,2104.5,29.54
ORD-00025,2022-12-07,2022,Q4,12,December,Latin America,Chile,Clothing,Pants,Small Business,2,49.76,99.52,44.85,54.67,54.93
ORD-00026,2024-03-10,2024,Q1,3,March,Asia Pacific,India,Office Supplies,Binders,Small Business,5,8.8,44.0,22.67,21.33,48.48
ORD-00027,2022-04-30,2022,Q2,4,April,North America,Mexico,Office Supplies,Paper,Consumer,19,26.46,502.74,364.9,137.84,27.42
ORD-00028,2024-12-23,2024,Q4,12,December,Europe,Germany,Electronics,Smartphones,Consumer,20,454.37,9087.4,6438.84,2648.56,29.15
ORD-00029,2024-04-06,2024,Q2,4,April,North America,Mexico,Furniture,Lighting,Consumer,20,52.14,1042.8,674.91,367.89,35.28
ORD-00030,2024-12-06,2024,Q4,12,December,Asia Pacific,China,Furniture,Shelving,Corporate,9,206.65,1859.85,1211.71,648.14,34.85
ORD-00031,2023-09-07,2023,Q3,9,September,Latin America,Colombia,Electronics,Laptops,Small Business,20,2497.37,49947.4,37402.06,12545.34,25.12
ORD-00032,2022-05-31,2022,Q2,5,May,Europe,Italy,Office Supplies,Pens,Home Office,3,26.98,80.94,45.4,35.54,43.91
ORD-00033,2022-11-20,2022,Q4,11,November,Latin America,Colombia,Electronics,Audio,Home Office,4,472.52,1890.08,926.68,963.4,50.97
ORD-00034,2022-08-25,2022,Q3,8,August,North America,Mexico,Furniture,Shelving,Home Office,20,147.4,2948.0,1629.84,1318.16,44.71
ORD-00035,2023-06-25,2023,Q2,6,June,Latin America,Colombia,Electronics,Laptops,Small Business,9,874.95,7874.55,4331.53,3543.02,44.99
ORD-00036,2022-09-25,2022,Q3,9,September,Asia Pacific,Australia,Clothing,Accessories,Small Business,18,10.68,192.24,90.85,101.39,52.74
ORD-00037,2022-11-02,2022,Q4,11,November,North America,Canada,Furniture,Cabinets,Corporate,2,415.78,831.56,598.47,233.09,28.03
ORD-00038,2022-03-23,2022,Q1,3,March,Asia Pacific,Australia,Furniture,Chairs,Home Office,18,718.89,12940.02,7400.57,5539.45,42.81
ORD-00039,2022-11-13,2022,Q4,11,November,Europe,France,Furniture,Cabinets,Consumer,6,715.6,4293.6,2360.0,1933.6,45.03
ORD-00040,2024-04-23,2024,Q2,4,April,Europe,United Kingdom,Furniture,Chairs,Small Business,2,701.02,1402.04,724.48,677.56,48.33
ORD-00041,2024-07-31,2024,Q3,7,July,Asia Pacific,China,Furniture,Desks,Consumer,7,568.39,3978.73,2122.97,1855.76,46.64
